"subject_id","t_0","t_1","t_2","t_3","t_4","t_5","t_6","t_7","t_8","t_9","t_10","t_11","t_12","t_13","t_14","t_15","t_16","t_17","t_18","t_19","t_20","t_21","t_22","t_23","t_24","t_25","t_26","t_27","t_28","t_29","t_30","t_31","t_32","t_33","t_34","t_35","t_36","t_37","subject_score"
"0",-0.64269534570625,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-0.0409921369747472,-5.07759695920363,-0.845398876404718,-5.07759695920363,-0.845398876404718,-5.07759695920363,-7.71943577658917,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-3.28985479432678,-8.00636756765025,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.56821938240303,-0.763812642973059,-0.763812642973059,-2.10368803973243
"1",-0.64269534570625,-0.0443312954418749,-3.34890184141496,-6.9150290371592,-5.07759695920363,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-7.71943577658917,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-3.28985479432678,-8.00636756765025,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-0.848738034871846,-3.34890184141496,-0.763812642973059,-2.06875729655819
"2",-0.763812642973059,-0.763812642973059,-0.64269534570625,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-5.07759695920363,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-2.19324450832934,-8.00636756765025,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-1.91029278627514,-0.848738034871846,-0.0443312954418749,-3.34890184141496,-0.763812642973059,-0.763812642973059,-1.61192842507931
"3",-0.763812642973059,-0.64269534570625,-0.0443312954418749,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-5.07759695920363,-0.813682500277706,-0.845398876404718,-5.07759695920363,-0.813682500277706,-0.813682500277706,-7.71943577658917,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-4.15330858084493,-0.763812642973059,-0.763812642973059,-1.86072201013045
"4",-0.763812642973059,-0.64269534570625,-0.0443312954418749,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-0.0409921369747472,-5.07759695920363,-0.845398876404718,-5.07759695920363,-0.813682500277706,-0.813682500277706,-7.71943577658917,-1.91029278627514,-1.91029278627514,-1.91029278627514,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.77022955888995
"5",-0.763812642973059,-0.64269534570625,-0.0443312954418749,-6.9150290371592,-3.44442220412488,-6.9150290371592,-5.07759695920363,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-7.71943577658917,-1.91029278627514,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-0.848738034871846,-0.0443312954418749,-0.0443312954418749,-3.34890184141496,-0.763812642973059,-0.763812642973059,-1.690995593934
"6",-0.763812642973059,-0.64269534570625,-0.0443312954418749,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-0.0409921369747472,-5.07759695920363,-0.845398876404718,-5.07759695920363,-0.813682500277706,-0.813682500277706,-7.71943577658917,-1.91029278627514,-1.91029278627514,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-1.91029278627514,-0.848738034871846,-0.0443312954418749,-0.0443312954418749,-3.34890184141496,-0.763812642973059,-1.68063117638378
"7",-0.763812642973059,-0.64269534570625,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-0.0409921369747472,-5.07759695920363,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.845398876404718,-11.9833502355151,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-1.91029278627514,-1.91029278627514,-0.848738034871846,-3.34890184141496,-0.763812642973059,-0.763812642973059,-1.81908072438731
"8",-0.64269534570625,-0.0443312954418749,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-0.0409921369747472,-5.07759695920363,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-7.71943577658917,-1.91029278627514,-1.91029278627514,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-6.90975728165281,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-0.848738034871846,-6.17420724520106,-0.848738034871846,-0.0443312954418749,-3.34890184141496,-0.763812642973059,-1.86270051854122
"9",-0.763812642973059,-0.64269534570625,-3.34890184141496,-6.9150290371592,-0.0409921369747472,-0.0409921369747472,-5.07759695920363,-0.813682500277706,-0.813682500277706,-0.813682500277706,-0.813682500277706,-7.71943577658917,-1.91029278627514,-1.91029278627514,-1.91029278627514,-1.91029278627514,-3.28985479432678,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-1.10061429133878,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-0.00400400534134616,-8.00636756765025,-1.91029278627514,-0.848738034871846,-6.17420724520106,-4.15330858084493,-0.763812642973059,-0.763812642973059,-1.76039102166025
