"subject_id","X0__0","X1__0","X2__0","X3__0","X4__0","X0__1","X1__1","X2__1","X3__1","X4__1","X0__2","X1__2","X2__2","X3__2","X4__2","X0__3","X1__3","X2__3","X3__3","X4__3","X0__4","X1__4","X2__4","X3__4","X4__4","X0__5","X1__5","X2__5","X3__5","X4__5","X0__6","X1__6","X2__6","X3__6","X4__6","X0__7","X1__7","X2__7","X3__7","X4__7","X0__8","X1__8","X2__8","X3__8","X4__8","X0__9","X1__9","X2__9","X3__9","X4__9","X0__10","X1__10","X2__10","X3__10","X4__10"
"0","a","b","b","b","c","b","c","b","a","c","a","a","b","a","c","b","c","b","a","c","c","b","b","a","c","c","c","c","a","a","a","c","c","a","a","b","b","c","b","c","a","c","a","a","c","b","b","b","c","c","a","c","c","c","a"
"1","a","b","a","c","c","b","a","a","b","c","c","c","a","b","c","a","b","a","b","c","b","a","a","a","a","c","b","b","a","b","a","c","b","c","c","a","a","b","c","c","a","c","b","a","c","a","c","b","a","a","b","a","b","a","c"
"2","a","b","b","b","c","b","a","b","a","c","c","a","b","b","c","a","c","c","c","c","a","a","b","c","c","b","c","b","c","c","b","a","c","a","c","c","a","b","a","a","a","a","b","a","c","c","c","b","a","c","a","c","b","c","a"
"3","c","c","a","c","a","b","b","a","a","b","a","b","a","a","b","b","c","a","b","a","a","a","a","b","b","b","b","b","b","a","c","a","b","a","c","a","a","b","a","a","b","a","b","a","b","a","c","b","a","c","a","c","b","c","a"
"4","a","c","c","a","a","b","c","b","c","a","c","a","b","c","b","a","c","b","c","c","c","a","c","b","c","c","c","a","b","c","b","c","a","a","c","b","a","a","a","c","c","b","b","a","a","b","a","b","b","c","c","c","b","a","c"
"5","c","a","c","c","c","a","a","b","c","a","b","b","b","a","a","c","c","b","a","c","a","b","b","a","c","b","b","b","a","b","c","c","b","a","a","a","b","b","a","b","a","c","b","a","a","b","c","b","a","b","c","b","b","c","c"
"6","a","b","c","c","c","a","c","b","c","c","a","a","b","a","c","a","c","a","a","c","b","b","a","c","c","c","b","a","c","c","c","a","a","a","c","a","b","b","c","b","b","c","b","b","b","c","a","b","a","c","a","c","b","a","c"
"7","a","b","a","c","c","b","c","b","a","c","c","b","b","a","c","a","c","b","c","c","b","b","c","c","c","c","a","c","a","c","b","b","c","a","a","c","c","c","a","c","a","b","a","c","c","b","c","a","c","c","a","a","a","c","c"
"8","c","c","a","b","b","a","a","a","a","b","b","a","a","a","c","c","c","b","a","c","a","c","b","a","a","b","b","b","a","b","c","c","b","a","a","b","c","b","a","a","a","c","b","b","a","a","a","b","b","b","b","a","b","a","c"
"9","c","c","b","b","c","a","b","b","b","b","b","c","b","b","c","a","b","b","b","c","b","a","b","b","a","c","a","b","b","a","c","b","b","a","a","a","b","b","c","b","a","b","b","c","b","b","b","b","a","c","a","c","b","c","c"
"10","a","b","c","a","c","b","a","c","a","a","c","a","b","b","b","a","a","b","b","a","a","b","c","b","b","b","c","b","b","c","c","c","b","c","a","a","c","b","c","b","c","c","b","a","a","b","b","b","a","c","a","c","b","a","a"
"11","a","c","b","a","a","b","c","c","a","a","c","b","b","a","b","c","c","b","a","b","b","b","b","a","c","c","c","b","a","c","b","a","b","c","c","c","c","b","c","c","a","b","b","c","c","b","c","b","a","a","c","b","b","c","c"
"12","c","b","c","c","c","b","c","c","a","c","a","b","a","a","c","b","a","b","a","c","c","c","b","c","c","a","b","c","a","c","b","a","b","a","c","c","c","c","a","c","a","b","c","a","c","b","b","a","a","c","c","a","a","c","c"
"13","a","b","c","c","c","c","b","c","b","a","b","c","c","a","a","c","a","b","a","b","a","a","b","a","a","b","c","b","a","a","a","a","b","a","c","b","c","b","c","c","c","a","b","c","c","a","b","b","b","a","b","a","b","a","b"
"14","a","b","b","b","c","b","b","b","b","a","c","b","b","a","b","b","a","c","a","b","a","b","c","a","b","b","c","a","a","c","c","a","a","a","c","a","a","a","a","c","b","c","b","b","c","a","b","b","b","a","b","c","b","a","b"
"15","a","b","c","a","c","c","c","c","a","c","a","c","a","a","a","b","c","b","a","b","c","b","b","a","b","a","a","b","a","c","b","b","b","a","a","c","c","a","a","b","a","a","a","c","c","b","b","b","b","c","c","b","b","b","c"
"16","c","c","b","b","b","a","b","b","b","b","c","a","b","c","c","a","c","b","c","c","b","b","b","a","b","c","b","b","a","b","b","c","b","a","a","c","a","b","c","c","c","c","b","c","c","c","b","b","c","c","c","c","a","a","c"
"17","a","c","c","c","a","b","a","a","a","c","c","c","a","a","a","c","b","a","a","b","b","c","b","a","c","a","b","b","b","c","b","c","b","b","a","a","b","b","b","c","c","a","c","a","a","a","c","a","b","a","b","b","a","b","c"
"18","a","c","b","a","a","b","b","c","a","c","a","b","c","a","c","b","c","b","a","a","c","b","b","c","c","c","a","b","c","c","b","c","b","a","c","a","a","c","a","c","b","c","a","c","c","c","a","b","a","c","b","a","b","c","a"
"19","c","c","c","c","c","b","b","c","b","c","a","a","a","b","a","b","a","a","a","b","b","a","b","b","b","b","c","b","a","c","a","a","b","a","c","a","c","c","c","c","a","b","c","a","c","b","b","c","a","a","b","b","a","a","a"
"20","a","b","b","b","c","b","a","b","b","c","c","c","b","a","c","c","a","b","a","c","c","c","b","b","c","c","b","b","b","c","c","b","b","c","c","a","c","b","c","a","b","a","c","b","c","c","c","a","b","c","a","a","a","b","a"
"21","a","b","c","c","c","c","b","c","c","c","a","c","a","b","c","b","c","b","a","a","c","b","b","a","a","c","c","b","a","c","c","a","c","a","c","a","c","a","a","c","b","b","a","a","c","c","c","a","a","c","a","b","a","a","c"
"22","a","b","c","c","b","b","c","b","c","b","c","a","b","a","c","c","c","b","a","c","a","a","b","a","c","b","c","b","a","c","c","b","c","c","c","c","b","c","c","c","a","a","c","a","c","b","a","b","a","c","c","c","b","a","a"
"23","a","b","c","a","a","b","a","a","a","b","c","c","a","a","c","b","a","b","a","c","a","a","b","a","a","b","a","b","c","a","b","c","b","a","a","c","a","b","b","b","c","a","c","b","a","a","c","a","b","a","b","b","a","c","b"
"24","b","c","a","a","a","c","b","b","a","c","a","a","b","b","c","a","c","b","b","c","b","c","b","b","a","a","b","b","b","b","b","c","b","a","a","c","a","b","a","b","a","c","a","a","a","b","a","a","a","c","b","c","a","a","c"
"25","a","b","a","c","c","b","b","b","c","c","a","c","b","a","c","b","b","b","a","c","c","c","b","a","c","a","c","b","a","c","b","c","b","b","a","c","b","c","b","a","c","c","c","a","a","c","c","b","c","b","a","c","a","c","a"
"26","a","c","b","b","b","b","b","c","b","b","c","c","b","b","c","a","c","b","b","a","b","c","b","a","b","c","b","a","c","a","c","c","b","c","b","c","a","b","a","a","a","a","b","a","b","b","c","b","a","c","b","a","b","a","c"
"27","a","a","b","b","b","b","c","b","a","c","b","b","a","b","c","a","a","a","a","c","b","c","a","c","a","a","c","a","c","a","a","c","a","a","b","b","a","a","a","c","a","c","a","a","c","b","b","c","a","c","c","a","c","a","c"
"28","a","b","c","a","c","b","c","a","c","a","c","b","b","b","b","a","b","b","a","a","b","a","b","a","b","c","c","c","a","a","b","b","c","a","c","c","c","c","a","a","a","b","c","c","b","b","c","b","b","b","b","c","b","b","b"
"29","a","b","c","a","a","b","c","b","a","c","c","b","b","a","c","a","c","b","a","c","b","b","b","a","c","c","a","b","a","b","c","a","b","a","b","b","c","b","a","a","c","c","b","c","a","b","b","b","c","b","a","a","b","c","b"
"30","a","a","c","a","b","a","c","b","a","c","c","c","b","a","a","a","b","b","b","a","b","c","b","b","b","a","a","b","c","c","b","c","b","c","c","c","b","c","b","c","c","b","c","b","c","b","c","b","b","b","c","c","b","b","b"
"31","a","c","b","b","c","b","c","b","b","a","c","b","b","b","b","c","c","b","a","b","a","c","b","a","a","b","c","b","a","a","c","b","b","b","b","c","b","b","b","b","a","c","b","b","a","b","a","b","a","b","c","a","c","a","a"
"32","a","c","b","a","a","b","b","b","c","c","a","a","b","a","c","a","c","b","a","c","b","a","b","a","c","b","c","c","a","c","c","c","b","a","a","a","a","b","c","b","b","c","b","b","c","a","b","b","c","c","b","b","a","a","a"
"33","a","b","c","c","b","b","a","b","c","b","a","c","b","c","b","b","a","b","a","b","b","c","c","b","b","c","c","a","a","a","b","a","a","a","a","c","c","a","a","a","a","a","a","a","c","a","c","b","a","c","b","b","b","c","c"
"34","a","c","c","c","a","b","b","b","a","c","c","c","b","a","a","b","b","a","a","c","c","c","b","a","c","a","b","b","a","c","b","c","b","a","c","c","b","b","c","a","a","c","b","a","b","b","c","a","a","a","a","b","b","c","b"
"35","b","b","c","a","c","c","a","c","a","c","c","a","a","a","c","a","c","b","a","c","b","c","b","c","a","c","a","b","a","c","c","c","b","a","c","c","b","a","c","c","b","c","b","c","c","b","b","a","b","c","b","c","a","b","c"
"36","c","c","c","c","b","a","c","b","c","a","a","a","b","b","c","a","c","b","b","c","a","b","b","a","c","b","c","b","a","c","c","b","b","c","c","a","a","b","a","c","b","c","c","a","c","c","a","a","c","c","b","c","a","c","c"
"37","c","a","b","b","b","c","c","b","a","c","a","c","b","b","a","b","a","a","b","a","a","c","a","a","a","b","b","b","a","c","b","a","b","b","c","a","c","b","a","c","b","a","b","a","c","a","b","b","b","a","b","b","b","a","b"
"38","a","b","c","c","c","a","c","c","a","a","b","b","a","c","c","c","c","a","a","a","c","c","a","a","a","b","a","a","a","c","c","c","b","a","c","a","a","b","a","c","b","c","b","a","c","b","a","b","c","b","c","c","b","c","c"
"39","c","c","b","b","c","b","b","b","a","c","c","b","b","c","c","b","b","c","a","c","b","a","a","a","c","c","c","a","c","c","c","c","a","c","c","c","c","b","c","a","b","b","b","c","b","c","a","c","c","c","b","b","c","a","a"
"40","a","b","b","b","b","b","c","b","b","b","b","c","b","a","b","a","a","b","a","c","b","c","b","b","c","c","b","b","a","a","a","b","b","b","b","a","b","a","b","b","b","a","b","a","c","c","b","b","c","c","a","c","b","a","c"
"41","c","b","c","c","c","a","a","b","c","c","a","a","b","c","c","b","c","a","c","c","a","a","a","c","c","b","c","b","c","c","a","b","b","b","c","b","c","b","b","c","b","b","b","a","c","c","c","b","a","c","b","b","b","a","c"
"42","c","c","c","a","a","a","c","a","a","a","b","c","a","a","b","b","c","a","a","b","a","b","b","a","a","a","a","c","a","c","b","c","c","a","c","a","b","a","a","c","b","a","a","a","c","c","c","b","c","c","b","a","b","a","c"
"43","c","c","b","b","c","a","b","b","b","c","b","a","b","a","c","a","c","b","a","c","b","c","b","b","a","b","a","b","b","b","c","b","b","b","b","b","a","c","b","c","b","a","c","b","a","c","b","a","a","b","a","b","b","a","a"
"44","a","c","b","a","b","b","a","b","a","c","c","a","b","a","c","c","b","b","a","a","a","a","b","a","b","b","b","b","a","a","c","c","b","b","c","a","c","b","b","a","b","b","a","a","b","c","c","a","a","b","a","a","b","a","c"
"45","a","c","c","b","b","b","c","c","b","a","a","a","b","a","c","a","c","b","c","c","a","a","b","a","c","a","b","b","a","a","a","b","b","a","c","b","c","b","a","a","c","c","b","a","a","a","c","a","a","b","b","b","b","a","c"
"46","c","b","c","a","b","b","a","b","a","c","a","c","b","a","c","a","a","c","a","c","b","c","c","c","c","c","c","a","a","a","a","b","a","a","b","b","b","b","a","a","c","c","b","a","a","c","b","b","a","a","a","b","b","a","b"
"47","a","c","a","a","c","a","b","b","b","a","b","c","b","b","b","b","c","b","a","a","c","a","b","a","a","c","c","b","a","b","a","c","c","c","a","b","c","b","c","a","c","c","b","a","c","b","b","b","a","c","c","a","b","a","c"
"48","a","a","c","a","a","c","c","b","a","a","c","b","b","a","b","b","c","b","a","a","c","c","b","a","b","c","c","b","a","b","b","b","b","a","c","a","a","b","a","c","b","c","b","a","c","b","b","b","a","c","c","b","b","a","a"
"49","a","b","a","c","c","b","c","b","c","a","c","b","b","b","b","a","b","b","b","a","b","a","b","b","c","c","a","b","a","a","a","a","b","a","b","b","b","b","a","a","c","c","b","a","c","a","b","c","a","c","b","a","a","a","c"
"50","a","b","c","c","c","a","c","a","a","c","b","a","b","a","c","a","c","b","c","c","b","b","b","c","c","c","c","a","b","c","a","a","a","b","c","a","c","a","a","c","b","b","a","a","c","c","a","a","a","c","b","c","a","a","c"
"51","a","b","c","c","c","b","c","b","b","c","c","b","b","b","c","a","a","b","b","c","b","c","b","a","c","c","c","a","c","a","a","a","b","c","b","b","c","b","c","c","c","b","c","a","c","c","c","a","a","a","a","a","a","a","a"
"52","a","b","a","b","b","a","c","b","b","c","b","b","b","a","c","b","c","b","a","c","a","b","b","a","c","b","c","b","a","c","c","a","b","a","c","a","c","b","c","a","b","a","b","a","b","c","b","b","a","a","c","b","b","c","a"
"53","a","a","a","b","c","b","c","b","a","c","c","c","c","c","a","a","a","b","b","b","b","c","b","b","b","c","b","a","a","c","a","b","a","a","c","b","c","a","a","c","a","a","a","a","c","c","c","c","a","c","a","a","a","a","c"
