"subject_id","X0__0","X1__0","X2__0","X3__0","X4__0","X0__1","X1__1","X2__1","X3__1","X4__1","X0__2","X1__2","X2__2","X3__2","X4__2","X0__3","X1__3","X2__3","X3__3","X4__3","X0__4","X1__4","X2__4","X3__4","X4__4","X0__5","X1__5","X2__5","X3__5","X4__5","X0__6","X1__6","X2__6","X3__6","X4__6","X0__7","X1__7","X2__7","X3__7","X4__7","X0__8","X1__8","X2__8","X3__8","X4__8","X0__9","X1__9","X2__9","X3__9","X4__9","X0__10","X1__10","X2__10","X3__10","X4__10"
"0","c","c","b","b","b","c","c","c","c","a","a","b","c","b","c","b","c","b","a","a","b","a","c","b","c","b","b","b","a","a","c","a","b","b","a","c","b","a","a","a","c","b","b","a","b","c","c","b","b","a","a","b","c","a","a"
"1","b","c","b","a","c","a","c","a","a","a","a","b","a","a","a","a","a","c","b","b","b","b","b","a","a","a","a","c","b","b","a","b","c","b","a","b","b","a","b","b","a","c","c","b","a","b","a","b","a","b","a","b","a","b","b"
"2","b","a","c","a","c","a","b","c","b","b","b","c","c","c","c","b","b","a","b","c","b","a","c","b","a","b","b","b","a","a","b","a","b","b","b","a","b","a","c","a","b","a","c","a","a","b","b","c","c","a","b","c","b","b","a"
"3","c","c","b","b","b","a","a","c","a","b","c","b","c","b","a","b","a","b","a","a","b","a","a","a","b","b","b","a","a","a","a","a","a","b","a","c","a","c","a","c","c","c","a","b","a","a","a","c","b","b","b","c","b","a","c"
"4","b","a","c","a","c","b","c","b","b","a","b","b","c","a","c","b","c","b","c","c","a","c","c","c","a","a","a","b","b","b","b","c","c","c","c","b","c","a","b","a","a","a","c","c","b","a","c","b","b","c","b","c","a","b","a"
"5","c","c","a","a","c","b","c","c","b","a","c","a","b","c","b","b","b","a","b","a","b","c","b","a","b","a","a","c","b","b","a","b","c","a","a","a","c","b","c","b","b","b","c","a","c","b","c","c","b","a","a","a","b","b","b"
"6","c","c","b","b","b","c","c","a","a","a","a","b","c","c","c","b","a","b","b","a","b","b","c","a","a","a","a","b","b","a","c","b","c","b","a","c","a","c","c","b","c","b","b","b","b","b","a","c","c","b","b","c","b","b","a"
"7","b","a","c","a","c","b","c","b","c","a","a","c","c","b","a","b","a","b","a","b","b","c","a","a","c","a","a","c","b","a","b","b","b","c","b","b","a","c","a","a","b","c","a","a","c","b","a","c","b","b","b","c","b","b","c"
"8","b","c","b","c","c","b","a","a","a","b","b","c","c","c","b","b","b","c","a","c","a","c","b","b","a","c","b","c","b","c","c","b","c","a","a","c","a","b","b","b","c","b","b","b","a","a","b","c","b","b","b","a","a","a","a"
"9","b","c","c","a","c","c","b","a","b","c","a","c","b","a","a","b","b","c","c","c","a","c","c","b","a","a","b","b","a","c","b","c","c","b","c","b","a","c","b","b","b","b","b","a","b","b","c","c","b","c","b","a","b","c","b"
"10","b","a","b","a","c","b","c","c","b","a","c","c","c","c","b","a","c","a","a","a","b","c","c","c","b","b","b","b","a","b","b","a","a","c","b","b","b","c","b","a","b","a","c","a","b","c","c","a","a","c","c","c","c","a","a"
"11","c","c","c","a","c","c","b","a","c","c","c","b","a","a","a","c","b","a","c","b","c","a","b","b","b","c","c","b","c","a","c","b","c","a","c","a","c","b","a","a","b","c","c","c","a","b","c","a","b","a","a","a","c","a","b"
"12","c","c","c","a","b","c","b","b","b","c","c","c","c","a","a","a","a","b","a","b","a","a","a","b","c","c","b","c","a","b","c","c","a","b","a","c","c","c","a","b","c","b","c","b","c","b","c","c","c","c","b","b","b","b","a"
"13","b","b","a","b","b","b","c","a","c","a","a","c","c","a","a","b","a","b","b","b","b","c","c","a","c","c","c","a","b","a","c","c","b","b","a","a","a","c","a","b","b","c","a","a","b","b","a","a","c","b","b","b","c","b","a"
"14","b","c","a","a","c","b","b","a","a","a","b","b","b","b","b","b","c","c","b","c","a","c","b","b","a","b","a","c","a","b","b","c","b","b","a","b","a","c","c","b","b","a","c","a","b","b","b","a","b","a","b","b","c","c","b"
"15","c","c","b","c","b","c","c","b","a","a","a","c","a","c","a","b","a","a","b","b","a","c","b","a","c","b","a","c","c","b","a","c","c","b","c","a","c","c","a","a","b","a","c","a","b","a","c","b","b","a","a","c","c","b","a"
"16","b","c","a","a","c","b","a","a","b","b","b","c","c","a","c","b","c","a","b","a","b","c","c","b","b","b","a","b","a","b","b","c","c","b","c","b","c","b","a","a","b","b","c","a","b","c","b","c","a","a","c","c","b","a","b"
"17","b","c","a","c","b","a","a","c","a","b","a","c","c","b","c","b","c","b","b","a","b","a","c","a","b","b","c","b","a","b","b","b","c","c","c","b","b","b","b","b","b","c","a","c","a","b","b","c","c","a","a","a","b","b","b"
"18","c","c","b","b","b","c","b","c","b","c","c","c","b","b","c","a","c","c","a","b","a","a","a","c","c","a","c","b","b","a","b","b","a","b","c","b","c","a","c","a","a","c","c","c","a","b","a","b","a","b","a","c","c","b","c"
"19","a","b","a","b","b","a","c","c","a","c","b","c","b","c","a","b","c","c","a","b","a","b","c","b","c","c","c","b","a","c","c","a","c","b","b","a","c","a","a","c","a","c","c","c","a","b","a","b","a","a","b","b","c","c","b"
"20","c","a","a","a","c","a","c","c","c","c","c","b","b","b","c","c","c","c","c","a","b","b","c","b","c","b","c","a","c","a","b","c","a","b","a","b","b","a","b","b","a","c","c","a","c","a","c","c","b","a","b","a","a","b","b"
"21","c","c","a","c","c","a","b","c","b","c","c","a","a","a","a","a","c","c","b","b","a","b","b","b","a","b","a","c","b","b","a","c","b","a","c","c","b","a","c","a","c","c","a","b","a","c","b","a","a","a","c","a","c","c","b"
"22","c","c","c","a","c","c","c","a","c","b","c","b","c","b","c","c","b","a","b","c","c","a","b","a","b","a","a","c","b","c","b","b","c","b","b","b","b","c","b","c","a","a","b","b","a","a","c","a","c","c","a","a","c","c","a"
"23","c","c","b","b","b","c","a","a","b","b","c","c","a","c","a","c","a","c","c","b","c","b","a","a","a","c","a","c","b","b","a","a","c","c","a","b","a","a","a","b","b","c","c","a","c","b","c","a","b","a","a","a","c","c","b"
"24","c","c","a","b","b","a","b","c","b","c","b","b","c","a","b","a","c","c","a","c","a","a","b","c","b","a","c","c","b","c","b","b","a","a","a","b","a","a","b","a","a","b","c","a","a","b","c","a","b","a","b","c","b","a","b"
"25","c","c","b","b","b","b","c","c","a","a","a","a","a","c","c","a","c","c","a","c","c","b","b","b","b","c","c","a","b","c","c","c","b","c","a","c","a","a","a","b","c","b","a","b","a","c","c","c","a","c","a","a","b","a","a"
"26","b","c","a","c","b","b","c","c","b","c","a","c","b","c","a","b","c","c","a","a","a","c","c","b","a","c","a","c","b","b","c","c","b","b","c","a","c","c","b","a","c","a","a","b","b","b","c","c","b","c","b","b","a","b","a"
"27","b","c","a","c","c","c","c","c","b","a","c","c","c","a","a","a","a","b","b","b","a","b","c","b","a","a","a","b","a","b","a","c","c","a","c","a","c","b","b","a","a","b","c","a","c","b","a","a","c","b","a","c","a","a","c"
"28","c","c","b","b","b","a","b","c","a","c","c","b","b","b","a","c","a","c","a","b","a","c","b","c","c","a","a","a","a","b","b","b","c","b","c","b","a","c","b","a","a","b","b","b","a","a","a","c","a","b","a","a","b","a","c"
"29","c","c","b","b","b","a","b","a","b","c","a","a","c","b","a","c","b","a","b","a","c","c","a","b","b","c","b","a","a","c","c","c","c","a","a","a","a","a","a","b","b","b","c","a","a","b","a","b","b","b","a","b","a","c","b"
"30","c","c","a","c","c","c","c","c","b","a","a","c","c","a","a","c","c","b","b","a","c","c","c","b","a","c","a","c","b","b","b","b","b","c","c","a","c","c","a","a","b","b","a","b","a","b","a","c","c","b","c","a","b","b","c"
"31","b","b","c","a","c","b","a","c","b","a","b","c","b","c","a","b","a","a","a","b","c","c","c","a","a","a","b","c","c","c","a","c","b","b","c","a","a","c","a","a","b","c","c","b","b","a","c","a","c","a","b","c","b","b","a"
"32","c","c","c","a","c","c","c","b","c","a","a","a","c","a","b","b","b","c","a","a","b","b","a","a","b","b","c","a","b","a","b","b","b","a","c","a","a","b","b","b","c","c","c","b","c","a","c","c","c","a","b","a","c","b","b"
"33","c","c","b","b","b","a","b","c","b","c","a","c","b","b","c","b","c","c","a","a","a","a","b","b","b","b","c","a","b","c","a","a","c","a","b","c","c","b","a","c","c","c","a","a","a","c","a","c","b","b","c","c","b","b","b"
"34","b","b","c","a","b","c","c","b","b","a","b","c","a","c","a","b","c","c","b","a","a","a","b","c","b","c","a","c","b","c","c","c","b","b","c","a","c","c","a","c","b","b","c","a","c","c","c","b","b","c","c","c","a","c","a"
"35","c","c","b","c","b","c","b","c","a","a","a","c","c","a","b","b","c","c","b","c","b","c","b","c","a","b","a","a","a","b","b","c","c","b","c","a","a","c","b","b","a","c","b","c","b","c","b","c","b","a","a","c","b","b","a"
"36","c","a","a","b","b","a","c","a","b","c","a","b","c","a","c","b","c","b","a","a","a","a","b","a","b","a","a","a","b","b","b","b","c","a","a","b","a","a","c","b","b","b","a","c","b","a","b","c","a","b","a","a","b","a","b"
"37","b","c","a","c","b","c","c","b","b","c","c","a","a","c","a","c","b","c","b","a","a","c","c","a","a","b","c","a","b","b","c","b","c","c","c","c","c","a","b","a","c","a","a","c","b","a","c","b","b","c","c","c","c","b","a"
"38","b","c","b","a","c","a","b","c","b","c","a","c","a","c","a","b","a","c","b","b","a","c","c","c","a","b","a","b","a","b","a","b","c","b","a","a","a","a","a","b","b","b","b","b","a","a","a","c","b","b","b","b","b","a","b"
"39","b","a","c","a","b","b","c","b","a","c","b","c","c","a","a","b","a","b","b","b","b","c","a","a","c","b","c","c","c","a","b","a","b","b","b","a","c","a","c","c","b","c","c","a","a","b","a","a","b","b","c","c","c","c","c"
"40","c","a","c","a","b","c","c","b","b","c","c","b","b","b","c","c","a","b","c","b","c","c","a","b","c","a","a","a","b","b","b","b","a","b","a","b","b","b","a","b","b","a","c","b","b","b","b","a","a","c","a","c","c","b","a"
"41","c","c","a","c","c","c","b","a","a","a","c","c","a","b","c","a","c","a","a","a","b","c","c","b","a","a","a","c","b","b","a","c","c","c","c","b","c","b","b","a","b","b","a","c","a","a","b","a","b","b","b","c","a","a","c"
"42","c","c","a","c","b","c","b","c","b","c","c","a","a","a","a","c","c","c","b","c","a","c","a","a","a","a","a","a","c","b","b","c","a","a","c","b","b","b","b","c","b","b","c","a","a","b","a","c","c","b","a","b","b","a","a"
"43","b","a","b","b","b","a","c","c","a","c","b","a","c","c","b","a","c","b","b","a","b","a","c","c","b","b","c","c","b","a","b","b","a","b","c","b","a","c","c","a","b","b","b","c","a","b","a","a","a","b","a","c","a","b","c"
"44","b","b","c","a","b","b","c","a","a","c","a","c","c","c","a","a","c","c","b","a","b","a","a","a","b","a","c","a","c","c","c","b","c","b","c","c","b","c","a","a","a","a","b","b","b","c","c","c","c","c","c","a","b","b","b"
"45","b","c","a","c","b","b","b","c","c","c","a","b","b","b","a","b","a","c","a","b","a","b","b","a","a","a","a","a","c","b","c","c","b","c","c","a","b","c","b","c","a","a","c","a","b","a","b","b","b","a","c","c","c","c","b"
"46","c","c","a","b","b","b","c","c","a","a","a","c","a","c","a","a","a","c","c","b","b","a","b","b","c","b","b","c","c","a","b","c","c","b","a","b","c","a","b","a","b","a","c","a","b","c","b","b","c","c","c","b","c","b","b"
"47","c","c","a","c","b","a","c","a","a","c","a","a","c","a","b","b","c","b","a","c","a","c","a","b","a","b","c","a","b","b","a","c","b","b","a","b","c","c","c","a","b","c","b","b","a","b","c","a","a","b","a","a","c","a","b"
"48","c","c","c","a","c","c","b","b","b","c","c","a","b","a","a","b","c","c","b","b","b","b","b","b","c","b","a","a","c","a","b","c","c","c","a","b","a","c","b","b","a","b","c","c","b","b","a","b","a","a","a","b","c","a","a"
"49","c","c","a","b","b","c","b","b","c","c","c","c","c","b","a","c","a","b","b","b","c","c","c","a","c","c","a","a","c","b","c","c","c","a","a","c","a","c","c","b","c","c","a","a","a","c","b","a","a","c","c","c","c","b","a"
"50","a","a","c","a","a","c","b","a","b","a","c","b","c","c","a","a","c","b","b","a","b","a","c","c","b","b","b","a","a","a","b","a","c","b","b","b","c","c","b","c","a","c","a","b","b","c","c","c","a","a","a","c","a","c","a"
"51","c","c","a","c","b","c","b","c","a","c","b","c","c","b","a","b","c","a","a","a","b","a","c","b","b","a","c","b","a","c","b","c","a","b","a","b","a","c","c","b","b","b","c","b","c","a","a","c","a","b","b","a","b","c","c"
"52","b","a","c","b","b","b","c","c","c","a","b","a","b","a","b","b","c","a","b","c","a","c","c","a","a","b","c","a","a","a","a","a","b","a","b","a","c","c","a","c","a","b","b","b","a","a","c","a","c","b","b","b","b","b","c"
"53","b","a","c","a","c","b","b","a","b","b","b","b","a","b","b","a","c","c","a","c","b","c","a","b","b","b","b","b","c","a","b","b","c","a","b","b","c","b","b","c","b","c","a","c","a","c","a","c","c","b","b","c","b","b","c"
"54","b","c","b","b","b","a","a","a","b","b","a","b","b","a","b","c","c","c","a","c","c","b","a","b","a","c","c","a","c","a","c","c","c","a","a","c","c","b","a","a","a","c","a","b","b","a","b","c","b","c","a","b","c","a","a"
"55","c","c","c","a","c","a","c","a","b","a","a","b","c","c","c","c","b","a","a","a","a","a","a","b","b","b","c","a","c","c","a","b","b","a","a","b","c","b","a","b","a","c","c","c","a","b","a","a","b","b","c","c","c","a","a"
"56","c","c","a","c","b","c","b","c","b","c","c","c","b","b","c","a","c","c","c","a","a","a","b","a","b","b","c","a","b","c","b","c","c","c","a","b","a","b","c","b","b","c","c","a","c","b","c","c","b","a","b","c","b","c","a"
"57","c","c","c","c","b","c","a","b","a","b","c","c","c","b","a","c","c","b","a","b","c","c","b","a","a","c","b","b","c","c","a","c","b","a","a","a","c","a","a","a","c","a","c","b","b","a","c","b","a","a","b","c","c","b","b"
"58","c","c","a","a","b","c","b","c","c","a","c","a","c","b","b","c","a","c","b","c","c","c","b","c","a","a","b","a","a","a","b","c","c","c","b","a","b","b","b","c","b","a","a","a","a","a","b","a","a","b","a","c","a","b","c"
"59","b","a","a","a","c","b","c","c","b","a","a","c","b","a","b","a","a","a","a","a","b","c","b","b","b","b","b","b","a","c","b","a","c","a","a","b","b","b","c","b","a","c","a","a","a","b","a","b","c","b","c","c","c","b","c"
"60","c","c","b","b","b","c","a","a","c","b","c","c","c","b","c","c","c","a","b","c","c","a","c","b","b","a","c","a","b","a","b","a","b","a","b","b","c","b","c","b","a","c","c","b","a","b","a","b","a","b","b","b","c","b","a"
"61","c","c","b","a","c","c","a","c","b","b","b","b","b","b","a","b","a","c","a","b","b","c","b","a","c","b","c","a","a","a","b","a","b","b","b","b","a","c","a","c","a","c","c","b","c","b","c","b","b","a","b","c","c","c","b"
"62","c","c","a","c","c","a","a","a","c","b","a","c","c","a","a","c","a","c","b","a","c","c","c","a","c","a","c","b","b","a","b","c","a","b","b","a","b","a","a","c","a","c","c","b","c","c","a","b","b","b","a","c","c","a","a"
"63","c","c","a","c","b","c","b","a","b","c","b","a","c","b","a","a","a","c","c","c","b","b","c","b","a","c","b","a","a","b","c","a","b","a","c","c","c","c","c","a","c","c","b","a","a","c","a","c","b","b","c","c","c","a","b"
"64","b","a","c","a","a","b","b","b","b","a","a","a","b","c","b","b","c","a","a","a","a","c","b","a","a","b","b","c","c","a","a","b","b","a","c","a","b","c","b","b","a","c","a","a","c","b","b","c","c","c","b","a","b","b","b"
"65","b","c","a","c","c","b","c","c","b","a","a","a","b","a","b","c","c","a","b","a","c","b","c","a","c","a","c","c","b","c","b","c","b","a","a","b","c","a","b","a","b","a","c","c","b","a","c","c","b","a","a","a","b","a","b"
"66","b","c","a","c","c","b","b","b","b","a","b","b","c","c","c","b","c","b","b","c","a","c","c","b","a","b","c","a","a","a","a","a","b","a","b","b","c","c","c","c","b","b","c","b","c","a","c","c","a","a","a","c","a","c","a"
"67","b","c","b","a","b","b","b","c","b","c","b","b","b","b","b","c","a","a","b","b","b","b","b","c","a","c","a","c","a","b","b","c","a","b","a","b","a","c","b","b","b","b","b","b","a","b","a","c","a","b","b","b","c","b","c"
"68","b","c","b","b","b","a","c","b","c","a","a","a","a","a","b","c","c","c","c","c","a","b","b","b","c","a","c","c","c","a","a","a","c","b","b","b","c","c","a","b","c","b","a","b","c","b","b","c","b","b","b","c","c","b","c"
"69","c","c","a","c","b","c","c","c","b","a","c","c","a","a","a","b","a","b","c","b","a","c","c","b","a","a","c","b","a","a","c","a","c","a","b","b","c","c","b","c","b","c","b","b","a","b","c","c","a","a","b","a","b","b","b"
"70","b","c","a","a","a","b","c","a","c","b","b","b","a","c","c","a","a","c","c","a","b","b","b","b","b","b","c","c","c","c","b","a","b","a","b","a","c","b","a","c","a","b","a","b","c","b","a","c","a","a","b","c","b","b","c"
"71","b","b","c","c","b","a","c","c","a","a","b","a","c","b","b","c","b","c","b","a","a","c","b","a","a","c","a","b","a","b","c","c","c","c","c","a","c","b","b","a","a","a","b","c","b","c","c","c","a","c","a","a","b","a","b"
"72","c","c","c","a","a","c","a","c","b","b","c","b","c","a","b","a","c","b","c","c","b","c","a","b","a","a","b","c","a","c","b","a","b","c","b","a","c","c","a","c","b","c","a","c","a","b","a","c","c","b","a","c","b","a","c"
"73","c","c","b","b","b","c","b","c","b","c","a","c","a","c","b","c","b","a","b","c","b","a","a","b","b","b","b","b","c","a","c","c","a","a","c","a","b","a","c","a","a","b","c","b","b","a","b","a","c","c","c","b","c","c","b"
"74","b","b","a","a","b","c","b","a","a","c","c","a","c","c","a","c","b","a","b","b","b","b","c","a","c","a","a","a","a","b","c","c","c","c","c","b","c","b","c","a","b","a","c","c","b","a","a","a","c","c","b","c","c","a","a"
"75","b","b","a","a","c","b","c","c","b","c","a","c","b","c","a","a","a","c","c","b","b","b","c","a","b","b","c","c","b","c","b","c","b","a","a","b","b","c","c","c","a","c","a","a","a","b","a","c","b","b","b","b","b","c","a"
"76","b","c","a","a","c","b","b","a","b","a","b","c","c","a","c","b","c","b","c","a","b","a","c","b","b","a","b","a","c","a","b","a","a","a","b","b","c","c","a","c","b","c","b","b","a","b","c","a","a","a","b","b","a","a","b"
"77","b","a","c","a","a","a","b","b","b","a","b","a","c","a","b","b","c","b","b","c","a","c","c","b","a","b","c","a","a","a","b","a","a","c","b","a","c","c","b","a","a","a","b","b","b","b","b","c","c","a","b","c","a","b","a"
"78","c","c","b","b","b","c","c","c","a","a","c","a","b","a","b","c","a","c","b","c","a","c","b","b","b","c","b","c","a","c","c","b","a","b","a","c","b","a","c","b","b","b","a","b","c","b","a","c","b","a","b","c","c","a","b"
"79","b","c","b","c","b","a","c","c","b","a","a","b","b","c","c","a","c","a","a","a","b","a","a","a","b","b","c","c","b","b","b","c","b","a","a","a","a","c","b","b","b","a","a","a","c","b","a","c","b","b","b","c","a","a","b"
"80","b","a","c","b","b","a","c","b","a","c","b","a","c","a","b","a","b","a","c","c","a","a","a","b","a","a","b","c","b","a","a","a","b","c","a","a","b","c","b","b","a","c","c","b","a","b","c","b","b","a","b","a","c","a","b"
"81","c","c","a","c","c","a","c","b","c","a","c","c","b","c","b","a","c","c","c","a","c","a","b","b","b","c","a","c","a","b","c","b","c","c","b","c","c","a","b","a","c","a","a","b","b","a","c","a","c","c","b","c","c","b","b"
"82","c","c","a","c","c","c","c","a","a","a","a","a","c","b","b","c","c","a","a","b","c","b","c","b","c","a","a","a","c","b","b","c","a","c","c","b","c","a","c","a","b","a","c","b","b","a","c","b","a","c","a","b","c","b","c"
"83","b","c","c","a","b","a","b","a","b","c","a","c","c","b","a","b","a","c","b","b","a","c","b","b","a","a","b","a","a","c","a","c","b","c","a","c","c","c","b","b","c","b","c","c","c","c","a","b","b","a","b","b","c","b","b"
"84","a","b","c","c","b","a","c","b","b","c","a","a","c","a","b","a","c","c","c","c","b","a","a","c","b","a","c","b","b","c","b","a","c","c","b","b","c","c","c","c","b","c","a","b","a","b","a","a","c","b","b","a","c","a","c"
"85","c","c","a","c","c","b","a","a","b","b","b","b","c","b","c","b","c","b","a","c","b","c","c","a","a","b","b","a","c","c","a","a","c","a","b","a","b","b","c","b","c","b","b","b","c","c","c","c","b","c","c","b","c","a","a"
"86","c","c","a","c","b","c","b","c","b","c","c","c","b","c","a","a","c","a","b","a","c","a","b","b","b","c","b","a","a","a","a","c","a","b","a","a","c","c","b","a","a","a","b","c","b","a","b","c","b","a","a","c","b","c","a"
"87","c","c","c","a","b","a","b","a","a","c","b","c","a","b","a","b","a","c","a","b","a","a","a","b","b","b","b","a","c","b","b","b","a","b","c","b","c","c","b","a","b","a","c","b","b","a","c","a","b","a","a","a","a","a","b"
"88","b","c","b","a","a","b","c","c","a","b","b","b","b","a","c","b","c","c","b","c","b","a","a","b","b","b","c","a","c","a","c","a","c","b","b","c","c","c","a","a","c","a","a","b","b","c","c","c","b","c","c","b","b","a","c"
"89","c","c","a","c","c","c","a","c","a","b","c","c","b","b","a","c","c","c","a","b","b","c","a","a","a","b","a","c","a","b","b","a","c","a","a","b","b","c","b","c","b","c","a","a","a","b","a","a","b","b","a","c","a","a","b"
"90","c","c","c","b","b","b","b","a","a","c","b","c","c","c","a","c","a","b","b","b","c","b","c","a","a","a","c","b","b","a","b","c","b","a","a","a","b","b","c","a","b","b","c","a","b","b","c","b","b","c","b","c","a","a","a"
"91","b","c","a","a","b","a","c","a","b","a","b","c","c","a","a","b","a","a","b","b","b","c","c","b","c","b","c","b","b","a","b","a","c","c","b","b","b","b","a","a","b","a","a","c","b","b","c","a","a","c","b","c","b","c","a"
"92","b","c","a","a","b","b","b","c","b","c","b","b","a","a","b","c","c","b","b","a","c","a","c","b","b","c","c","c","c","a","c","a","a","c","b","c","b","a","b","a","c","a","c","b","b","c","c","a","a","c","c","c","a","b","a"
"93","b","c","a","b","b","b","b","a","b","c","b","c","c","b","a","a","b","a","c","c","a","a","c","c","b","b","c","a","b","a","b","a","c","c","b","b","b","c","a","a","a","a","c","c","b","c","b","b","b","b","c","c","c","a","c"
"94","c","c","a","c","b","a","b","a","b","c","b","a","a","a","a","b","a","c","b","b","b","c","b","a","a","b","a","c","b","b","b","c","b","a","c","a","c","c","b","a","a","a","b","c","b","b","c","a","b","a","a","a","c","b","c"
"95","c","c","b","b","b","c","a","c","c","b","b","c","a","c","c","b","c","b","b","a","a","b","c","a","a","a","c","b","b","a","b","a","b","a","b","a","c","a","a","a","a","a","c","b","b","b","c","c","c","a","a","b","b","b","c"
"96","c","c","a","c","b","b","a","c","b","b","b","b","c","a","a","b","a","b","b","a","b","c","b","b","b","b","b","b","b","c","a","a","c","c","a","a","b","a","b","a","b","a","c","a","b","b","c","b","b","c","b","a","a","c","a"
"97","c","c","a","a","c","b","c","c","c","a","b","c","c","b","a","b","a","c","a","b","b","c","c","c","c","b","b","b","b","a","c","a","a","a","b","c","c","c","b","c","c","c","c","a","a","c","c","a","b","a","a","a","a","c","b"
"98","b","a","a","c","c","b","c","b","b","a","a","c","c","b","a","a","b","b","a","c","b","b","c","b","a","b","c","b","a","a","b","a","c","b","b","b","b","b","b","a","c","a","c","b","a","a","b","c","a","a","c","a","b","a","b"
"99","b","c","a","c","b","b","c","c","b","a","b","c","b","b","a","b","c","c","a","a","a","c","a","b","a","a","c","a","c","a","b","c","c","b","a","b","a","c","b","b","b","b","c","b","a","b","b","b","b","b","c","c","c","c","c"
"100","b","a","c","a","a","a","b","b","b","a","a","b","a","b","b","b","b","b","b","c","b","c","a","c","a","b","c","c","b","b","b","b","b","a","c","b","c","c","b","a","b","a","b","c","b","c","c","c","b","a","c","a","c","a","b"
"101","c","c","a","a","c","c","b","a","b","c","c","b","c","a","c","b","a","c","b","b","b","c","a","b","c","b","c","c","c","a","b","a","c","c","b","b","a","c","b","c","a","a","b","a","c","a","b","c","b","a","b","b","a","a","c"
"102","c","c","a","c","b","c","c","c","b","a","c","c","a","c","b","a","b","a","b","c","b","b","c","b","a","a","a","b","c","b","b","c","c","a","a","a","a","b","b","b","b","c","c","b","a","b","c","a","a","a","b","c","a","c","c"
