"subject_id","X0__0","X1__0","X2__0","X3__0","X4__0","X0__1","X1__1","X2__1","X3__1","X4__1","X0__2","X1__2","X2__2","X3__2","X4__2","X0__3","X1__3","X2__3","X3__3","X4__3","X0__4","X1__4","X2__4","X3__4","X4__4","X0__5","X1__5","X2__5","X3__5","X4__5","X0__6","X1__6","X2__6","X3__6","X4__6","X0__7","X1__7","X2__7","X3__7","X4__7","X0__8","X1__8","X2__8","X3__8","X4__8","X0__9","X1__9","X2__9","X3__9","X4__9","X0__10","X1__10","X2__10","X3__10","X4__10"
"0","b","c","c","c","a","c","b","b","a","c","a","a","b","b","c","b","c","c","b","c","c","b","b","c","c","c","c","b","a","b","a","c","c","c","a","b","a","a","a","b","c","b","b","b","a","c","b","c","b","c","a","c","b","b","c"
"1","a","b","a","b","b","c","c","b","b","a","c","b","a","b","c","a","b","b","c","c","c","b","c","a","c","a","b","b","c","c","c","b","b","a","c","c","b","a","c","c","c","c","b","a","c","b","b","c","b","b","c","c","b","c","a"
"2","b","b","a","c","a","a","a","b","a","c","a","c","c","b","c","c","c","c","b","b","a","c","b","b","a","c","a","b","b","c","a","c","c","c","c","b","c","c","b","b","c","b","a","c","a","b","a","b","a","c","c","c","c","c","a"
"3","b","c","a","b","c","a","c","b","b","c","c","c","b","b","a","b","c","a","b","c","a","b","b","b","c","c","c","b","b","b","a","b","b","b","a","b","b","c","a","c","c","c","b","b","a","a","b","c","c","c","b","b","b","a","b"
"4","a","c","b","b","b","c","c","b","b","a","a","a","c","c","c","a","b","b","a","c","c","c","c","c","c","a","a","b","b","c","a","a","b","c","c","c","c","c","b","a","a","b","b","c","c","a","c","b","a","b","c","b","c","b","a"
"5","a","a","b","b","b","a","b","c","b","a","c","a","b","b","a","c","b","c","c","c","c","b","b","a","c","a","c","a","b","b","a","c","b","b","a","c","b","b","b","c","a","c","a","c","b","a","c","a","a","b","b","a","b","b","a"
"6","c","a","c","c","a","a","a","a","a","c","b","c","b","b","c","c","c","c","c","a","c","c","c","b","a","a","c","b","c","c","c","b","b","a","c","a","a","c","c","c","a","c","b","a","c","c","b","c","c","a","b","a","a","a","c"
"7","a","c","b","a","c","c","b","a","b","c","c","b","a","c","b","a","c","b","a","a","b","a","c","b","c","a","c","b","a","c","c","a","b","c","c","a","a","b","a","c","a","a","c","b","c","b","c","c","b","c","c","b","a","c","b"
"8","c","b","b","a","c","a","a","c","b","c","a","b","c","c","c","b","b","a","a","c","c","a","b","b","c","a","b","b","b","b","a","b","a","b","a","b","b","a","b","b","c","b","c","c","b","a","b","b","a","b","a","a","c","b","a"
"9","b","b","b","b","b","c","c","c","a","a","c","c","b","c","a","a","b","c","b","b","a","a","c","b","a","c","c","c","c","c","a","c","b","a","a","c","a","b","c","c","a","a","a","a","c","c","c","c","c","c","a","a","c","b","c"
"10","c","b","b","b","a","c","b","c","a","c","c","b","b","c","c","c","c","b","a","a","a","b","c","b","c","b","a","b","b","c","c","b","c","c","a","b","b","b","b","c","a","b","c","b","c","b","a","b","b","c","a","c","b","c","c"
"11","c","b","a","b","b","c","c","b","b","a","a","a","c","b","c","b","c","b","c","b","c","c","b","c","a","c","c","c","a","c","c","c","a","c","b","a","c","c","a","a","a","c","a","a","c","c","c","a","b","b","a","c","b","b","a"
"12","c","b","b","b","b","a","b","b","c","c","a","a","b","a","c","a","b","b","b","b","c","c","b","c","a","a","b","c","b","c","c","c","b","c","a","a","b","c","a","c","b","a","c","b","c","c","c","c","b","b","a","c","c","c","a"
"13","c","a","c","a","c","a","c","b","b","c","a","b","c","c","a","b","b","b","a","c","c","a","b","b","c","a","c","b","b","c","a","c","c","c","c","a","b","c","a","c","b","a","a","b","c","c","c","c","c","b","c","c","a","a","a"
"14","a","c","b","b","c","a","b","c","b","c","a","b","a","b","c","c","c","a","c","b","a","b","c","a","c","a","b","c","a","c","c","c","b","b","b","a","c","c","b","a","a","a","a","b","c","c","a","c","c","c","c","b","b","a","b"
"15","c","b","a","a","b","b","c","a","a","a","c","a","b","c","c","a","c","c","a","c","a","a","b","c","c","a","b","b","a","b","b","a","b","c","c","a","b","c","a","b","b","c","c","c","a","b","b","b","a","b","a","c","c","b","a"
"16","a","c","c","c","a","c","b","b","a","c","c","c","c","c","c","a","c","c","a","b","a","a","a","c","a","b","c","b","a","c","c","b","c","a","c","a","c","c","c","c","a","c","b","a","b","a","c","a","a","a","c","b","b","b","b"
"17","a","b","a","a","b","a","c","a","b","a","a","b","b","c","c","a","a","a","a","a","c","a","c","c","c","c","b","a","a","b","a","c","b","c","a","b","b","b","a","c","a","b","c","a","c","a","c","b","b","b","b","c","c","c","a"
"18","b","b","b","b","b","c","c","c","a","a","b","a","a","b","c","c","b","b","c","c","a","c","c","a","b","a","c","b","b","a","a","b","b","c","c","a","c","c","a","c","c","c","a","a","c","b","a","b","c","c","c","a","b","a","c"
"19","b","b","b","a","c","c","a","b","b","a","c","b","a","b","b","c","c","b","b","b","c","b","c","c","a","c","b","a","a","c","a","c","c","b","b","b","a","b","b","b","a","b","c","c","a","a","a","b","a","c","a","c","b","b","c"
"20","b","b","c","b","a","c","c","a","b","a","a","b","b","c","c","c","c","b","a","c","a","a","c","c","c","b","b","b","a","b","a","b","c","c","b","c","c","c","a","b","c","b","c","c","a","c","b","b","a","c","a","b","c","c","b"
"21","b","c","c","b","a","c","a","b","b","c","a","b","c","a","b","b","a","b","b","a","c","b","a","c","c","a","c","b","a","c","c","a","a","b","c","a","a","b","b","c","c","b","b","c","c","a","b","c","a","c","c","c","b","c","b"
"22","a","c","a","a","c","b","b","b","b","c","a","c","c","b","b","a","c","b","b","a","b","a","b","c","c","c","a","c","a","c","c","a","b","c","c","a","c","c","a","c","a","b","a","b","c","b","b","b","c","b","c","c","c","a","b"
"23","a","c","b","b","a","a","b","c","b","c","c","a","b","b","c","a","c","c","b","c","c","c","c","c","a","a","b","b","a","a","a","a","a","b","c","c","a","b","a","b","c","a","b","b","c","c","c","c","b","c","c","b","b","a","b"
"24","b","b","b","b","a","c","c","c","b","a","a","a","b","c","c","b","b","b","a","c","c","a","b","b","c","a","b","c","b","c","b","b","a","b","b","a","b","c","a","b","b","c","b","b","a","c","b","c","c","c","a","a","c","a","c"
"25","b","b","a","b","a","c","b","b","b","c","c","a","a","c","c","c","c","c","a","c","a","c","b","b","c","b","b","b","b","c","c","a","a","b","c","c","a","b","c","c","a","b","c","a","b","a","a","b","b","a","c","b","c","b","a"
