"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8"
"0","a","b","a","c","c","d","e","e","e","d","d","c","c","a","c","a"
"1","a","c","a","d","c","d","e","e","e","d","d","c","c","a","c","a"
"2","a","b","a","d","c","d","e","e","e","d","d","c","c","a","c","a"
"3","a","d","b","e","d","e","d","d","c","b","a","a","c","a","e","a"
"4","a","c","b","d","d","e","e","e","d","d","d","b","c","a","d","a"
"5","a","c","c","d","e","e","e","e","d","c","c","b","b","a","a","a"
"6","a","d","b","d","e","e","d","e","d","c","d","b","c","a","c","a"
"7","a","b","b","c","d","e","e","e","d","d","c","c","c","a","c","a"
"8","a","d","c","e","d","e","d","d","c","b","a","a","c","a","e","a"
"9","a","c","a","d","d","e","e","e","e","d","d","c","b","a","a","a"
"10","a","b","b","b","d","d","e","e","e","e","c","c","b","b","a","a"
"11","a","c","b","d","e","e","d","d","c","c","c","b","d","a","e","a"
"12","a","d","c","e","c","e","c","d","c","b","e","b","c","a","a","a"
"13","a","c","d","d","e","e","e","e","c","d","b","b","b","a","c","a"
"14","a","c","a","c","c","d","d","e","d","d","d","c","d","a","d","a"
"15","a","c","b","d","d","e","d","e","c","c","c","b","d","a","e","a"
"16","a","d","d","e","e","e","d","d","d","c","d","a","a","a","b","a"
"17","a","a","a","b","c","d","d","e","e","e","d","d","c","b","b","a"
"18","e","e","e","e","d","d","c","c","b","c","b","b","a","a","a","a"
"19","a","b","b","c","d","d","e","e","d","d","d","c","c","a","c","a"
"20","a","d","a","d","c","e","e","e","d","d","d","b","d","a","d","a"
"21","a","b","b","c","d","d","e","e","e","d","d","c","c","a","b","a"
"22","a","d","d","e","d","e","d","d","d","b","b","a","a","a","e","a"
"23","d","e","e","e","e","d","d","d","c","c","b","b","a","a","a","a"
"24","a","d","b","d","e","e","e","d","d","c","c","b","b","a","b","a"
"25","a","c","a","d","d","e","e","e","d","d","d","b","d","a","d","a"
"26","a","d","c","e","d","e","d","d","d","b","a","a","b","a","e","a"
"27","e","e","e","e","d","d","c","c","b","c","b","b","a","a","a","a"
"28","e","e","e","e","d","d","d","d","b","c","b","b","a","a","a","a"
"29","a","b","b","c","c","d","e","e","e","d","d","c","c","a","b","a"
"30","a","c","b","d","d","e","e","e","e","d","c","c","b","a","a","a"
"31","a","d","c","d","e","e","e","d","d","c","b","b","b","a","c","a"
"32","a","b","b","d","c","e","e","e","d","d","d","c","c","a","d","a"
"33","e","d","d","e","b","e","b","d","c","c","c","b","b","a","b","a"
"34","c","d","d","e","e","e","e","d","c","c","b","b","a","a","a","a"
"35","a","d","c","d","e","e","e","d","d","c","c","b","b","a","a","a"
"36","a","d","a","d","c","d","e","e","e","d","d","c","c","a","c","a"
"37","b","d","d","e","d","e","c","c","b","a","a","b","c","b","e","b"
"38","a","c","b","d","c","e","d","e","d","c","d","b","d","a","e","a"
"39","a","c","b","d","d","e","e","e","d","d","c","b","c","a","c","a"
"40","a","b","a","c","c","d","e","e","e","e","d","d","c","b","c","a"
"41","a","b","b","c","c","d","e","e","e","e","d","c","c","a","b","a"
"42","b","b","c","c","e","e","e","e","d","d","c","c","b","a","a","a"
"43","a","c","b","d","d","e","e","e","d","d","d","b","c","a","d","a"
"44","a","d","c","e","e","e","d","d","d","b","a","a","a","b","e","b"
"45","e","d","a","d","e","e","e","e","d","c","b","b","a","a","a","a"
"46","a","e","c","e","d","d","e","d","d","c","d","b","c","a","a","a"
"47","b","d","d","e","d","e","c","d","b","b","a","a","b","a","e","a"
"48","a","c","c","d","e","e","e","e","d","d","c","b","b","a","a","a"
"49","a","d","b","e","c","e","c","d","c","c","d","b","e","a","e","a"
"50","a","c","a","d","c","e","d","e","d","d","d","b","d","a","e","a"
"51","a","d","b","d","d","e","d","e","d","c","d","b","d","a","c","a"
"52","a","c","c","d","e","e","d","e","d","c","c","b","a","a","e","a"
"53","a","d","a","d","d","e","e","e","d","d","d","b","c","a","c","a"
"54","a","b","a","c","c","d","e","e","e","d","d","c","d","a","c","a"
"55","e","e","e","e","d","d","c","c","c","c","b","b","a","a","a","a"
"56","a","b","b","d","d","e","e","e","e","d","d","c","c","a","b","a"
"57","a","d","c","d","d","e","d","d","d","b","e","b","c","a","a","a"
"58","a","b","a","c","c","d","e","e","e","d","d","c","c","a","b","a"
"59","b","d","d","e","e","e","e","d","d","c","b","a","a","a","b","a"
"60","a","b","a","c","c","d","e","e","d","d","d","c","d","b","d","a"
"61","b","e","b","c","d","e","b","e","c","c","c","a","a","a","e","a"
"62","a","d","c","e","d","e","d","d","d","b","a","a","b","a","e","a"
"63","b","c","a","d","c","d","e","e","e","d","d","b","c","a","c","a"
"64","a","c","b","d","d","e","e","e","d","d","c","b","b","a","b","a"
"65","a","d","b","d","e","e","d","d","d","c","c","b","c","a","c","a"
"66","b","c","a","d","b","e","e","e","d","d","d","b","d","a","e","a"
"67","a","c","a","c","b","d","d","e","e","e","d","c","d","a","d","a"
"68","a","b","a","c","c","d","e","e","e","d","d","c","c","a","c","a"
"69","a","c","b","d","d","e","e","e","e","d","c","b","b","a","a","a"
"70","b","d","c","e","c","e","c","c","e","a","e","b","b","b","a","b"
"71","a","d","c","e","d","e","c","d","d","c","d","b","b","a","e","a"
"72","a","c","b","d","d","e","e","e","d","c","d","b","c","a","b","a"
"73","a","c","b","d","e","e","e","d","d","c","b","b","b","a","c","a"
"74","a","d","c","e","d","e","d","d","c","b","a","a","b","a","e","a"
"75","a","c","b","d","e","e","e","e","d","c","c","b","c","a","c","a"
"76","b","d","b","d","e","e","e","d","d","c","c","b","a","a","a","a"
"77","b","d","d","e","e","e","d","d","d","c","c","b","a","a","a","a"
"78","a","c","d","d","e","e","e","e","d","d","c","b","a","a","a","a"
"79","b","e","c","e","c","e","b","c","c","b","e","a","d","b","a","a"
"80","a","d","b","e","c","e","c","c","b","b","b","a","d","a","e","b"
"81","a","d","d","e","e","e","d","d","d","b","b","a","a","a","d","a"
"82","c","e","c","e","c","e","c","c","b","a","a","b","c","b","e","b"
"83","a","c","b","d","e","e","e","d","c","c","b","b","a","a","e","a"
"84","a","e","d","e","e","d","e","d","d","c","d","b","b","a","b","a"
"85","a","c","b","d","d","e","e","e","d","d","d","b","c","a","d","a"
"86","a","c","a","d","c","e","d","e","d","d","d","b","d","a","d","a"
"87","a","d","c","e","d","e","c","c","b","a","a","b","d","a","e","a"
"88","a","c","a","d","c","e","e","e","e","d","d","b","c","a","b","a"
"89","b","e","e","e","d","e","d","d","d","b","c","a","a","a","c","a"
"90","a","c","a","d","d","e","e","e","d","c","d","b","c","a","d","a"
"91","a","c","a","c","c","d","e","e","e","e","d","c","c","a","c","a"
"92","e","d","c","e","a","e","a","d","b","c","b","b","c","a","e","a"
"93","a","c","b","d","e","e","e","e","d","d","c","b","c","a","d","a"
"94","e","e","e","e","d","d","c","c","c","c","b","b","a","a","a","a"
"95","c","d","e","e","d","e","c","c","b","b","a","a","b","a","e","a"
"96","a","d","c","e","e","e","e","d","d","c","c","b","a","a","b","a"
"97","b","e","d","e","d","e","c","c","b","a","a","b","c","b","e","b"
"98","a","c","a","d","c","d","e","e","d","d","d","c","d","a","d","a"
"99","a","b","a","c","d","e","e","e","d","d","d","c","c","a","b","a"
"100","a","c","c","d","e","e","e","e","d","c","d","a","a","a","b","a"
"101","a","b","b","c","d","d","e","e","e","d","d","c","b","b","b","a"
"102","b","d","d","e","d","e","c","d","c","b","a","a","a","a","e","a"
"103","c","e","d","e","d","d","c","c","b","a","a","b","c","b","e","b"
"104","a","d","c","d","e","e","e","d","d","c","c","b","b","a","a","a"
"105","a","c","b","d","d","e","e","e","d","d","d","b","c","a","d","a"
"106","a","b","b","c","d","d","e","e","e","d","d","c","b","b","a","a"
"107","a","c","b","d","e","e","d","e","d","c","d","a","b","a","d","a"
"108","d","d","b","d","c","d","c","e","c","c","d","a","a","a","e","a"
"109","a","c","b","d","e","e","e","d","d","c","c","b","b","a","a","a"
"110","a","c","b","d","e","e","e","e","d","d","c","b","b","a","b","a"
"111","a","b","a","c","c","d","e","e","e","e","d","c","c","b","c","a"
"112","c","e","d","e","c","e","c","c","b","b","a","a","d","a","e","b"
"113","b","e","b","d","b","d","b","e","c","b","b","a","c","a","e","a"
"114","a","c","b","d","e","e","d","e","d","d","d","b","d","a","c","a"
"115","a","d","b","e","d","e","d","d","d","b","b","a","b","a","e","a"
"116","a","d","c","e","d","e","c","d","b","b","a","a","c","a","e","a"
"117","a","d","c","e","c","e","c","c","c","b","e","a","d","a","b","a"
"118","c","e","a","d","c","d","d","e","c","b","a","a","c","a","e","a"
"119","a","d","b","d","c","e","d","e","d","c","d","b","c","a","d","a"
"120","b","d","d","e","d","e","c","d","c","b","a","a","a","a","e","a"
"121","a","b","b","c","d","d","e","e","d","d","c","c","b","a","b","a"
"122","a","c","a","c","c","e","e","e","e","d","d","c","c","a","b","a"
"123","a","c","a","d","d","e","e","e","d","d","d","b","c","a","c","a"
"124","a","c","b","d","e","e","e","e","d","d","c","b","c","a","b","a"
"125","a","c","b","c","d","e","e","e","e","d","c","c","b","a","a","a"
"126","a","c","a","c","c","d","e","e","e","d","d","c","c","a","b","a"
"127","a","c","a","c","c","d","e","e","e","d","d","c","d","a","c","a"
"128","a","d","a","d","d","e","e","e","d","d","d","b","c","a","c","a"
"129","a","b","a","c","b","d","d","d","e","e","d","d","d","b","c","a"
"130","b","b","a","c","b","d","e","e","e","e","d","c","d","b","d","a"
"131","b","e","b","d","c","e","c","c","d","a","a","a","c","a","e","b"
"132","b","d","c","d","e","e","e","d","d","c","c","b","a","a","a","a"
"133","a","b","a","c","c","d","e","e","e","d","d","c","c","b","c","a"
"134","a","d","b","d","d","e","e","e","d","c","d","b","c","a","c","a"
"135","a","c","a","d","d","e","d","e","d","d","d","b","d","a","d","a"
"136","a","c","c","d","e","e","e","e","d","c","c","b","b","a","a","a"
"137","a","c","b","d","d","e","e","e","e","d","d","b","d","a","b","a"
"138","a","d","c","e","e","e","e","d","d","c","c","b","b","a","c","a"
"139","b","d","d","e","d","e","d","d","c","b","a","a","a","a","e","a"
"140","a","b","b","c","c","e","e","e","e","d","d","c","c","a","b","a"
"141","e","e","e","e","d","d","c","c","b","c","a","b","a","a","b","a"
"142","a","d","d","e","e","e","d","c","d","b","a","a","a","a","d","a"
"143","b","e","a","c","c","e","c","e","d","b","b","a","b","a","e","a"
"144","c","e","a","c","b","d","d","e","d","c","d","a","b","a","e","a"
"145","a","c","b","d","d","e","d","e","c","c","c","b","c","a","e","a"
"146","a","b","a","c","c","d","d","e","d","d","d","c","d","a","d","a"
"147","a","c","b","d","e","e","e","e","d","d","c","b","b","a","a","a"
"148","a","c","a","c","b","d","e","e","e","d","d","c","c","a","c","a"
"149","a","c","a","c","b","d","e","e","e","d","d","c","c","a","b","a"
"150","b","d","d","d","e","e","d","d","c","c","c","b","b","a","a","a"
"151","a","c","a","d","c","e","d","e","d","d","d","b","d","a","d","a"
"152","a","c","b","d","d","e","c","e","b","c","c","b","e","a","e","a"
"153","a","a","a","b","c","d","d","e","e","e","d","d","c","b","c","a"
"154","a","c","b","d","d","e","d","e","c","c","c","a","b","a","e","a"
"155","a","d","d","e","e","e","d","d","c","c","c","a","a","a","e","a"
"156","a","b","a","c","d","d","e","e","d","d","c","c","b","b","c","a"
"157","a","b","a","c","c","d","e","e","e","e","d","c","c","b","c","a"
"158","a","c","a","d","d","d","e","e","e","d","d","c","c","a","b","a"
"159","a","b","a","c","c","d","e","e","e","e","d","c","c","b","b","a"
"160","b","d","d","e","e","e","d","d","d","c","d","b","b","a","a","a"
"161","a","d","c","e","c","e","c","d","c","b","b","a","b","a","e","a"
"162","a","d","d","e","d","e","d","d","d","b","a","a","a","a","e","a"
"163","a","c","b","d","d","e","e","e","e","d","d","b","b","a","a","a"
"164","a","c","a","d","d","e","e","e","d","d","d","b","c","a","d","a"
"165","a","c","b","d","d","e","e","e","e","d","d","b","b","a","b","a"
"166","a","c","b","d","d","e","e","e","d","d","c","b","b","a","b","a"
"167","a","b","c","c","e","d","e","e","d","e","c","c","b","b","a","a"
"168","a","b","b","c","d","d","e","e","e","d","d","c","b","a","a","a"
"169","b","d","a","c","c","e","c","e","d","c","b","a","b","a","e","a"
